CP, 82, 2008080100, 01, CARQ,   0, 196N, 1490W,  35, 1010, TS,  64, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   C,   0,   X, 280,   6,      DWROE, D, 
CP, 82, 2008080100, 03, CLIP,  12, 198N, 1503W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLIP,  24, 200N, 1516W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLIP,  36, 202N, 1528W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLIP,  48, 205N, 1537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLIP,  60, 206N, 1550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLIP,  72, 203N, 1571W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5,  12, 198N, 1503W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5,  24, 201N, 1517W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5,  36, 203N, 1531W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5,  48, 206N, 1545W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5,  60, 210N, 1559W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5,  72, 215N, 1573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5,  84, 219N, 1587W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5,  96, 224N, 1602W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5, 108, 229N, 1615W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, CLP5, 120, 233N, 1630W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, OFCI,   0, 196N, 1490W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, OFCI,  12, 198N, 1502W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, OFCI,  24, 199N, 1515W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
