SH, 94, 2012122712, 03, NG03, 066, 137S, 1596E,  32,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 072, 139S, 1598E,  30,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 078, 144S, 1597E,  33,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 084, 150S, 1595E,  32,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 090, 157S, 1594E,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 096, 162S, 1591E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 102, 170S, 1590E,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 108, 180S, 1590E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 114, 189S, 1590E,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 120, 197S, 1594E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 126, 209S, 1599E,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 132, 220S, 1606E,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 138, 231S, 1619E,   0,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 144, 242S, 1630E,   0,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 000, 100S, 1630E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 006, 106S, 1629E,  33, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 012, 111S, 1628E,  17, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 018, 119S, 1628E,  22, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 024, 121S, 1625E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 030, 124S, 1624E,  24, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 036, 128S, 1624E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 042, 128S, 1625E,  24,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 048, 127S, 1628E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 054, 130S, 1631E,  22,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 060, 138S, 1636E,  25, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 066, 145S, 1639E,  28,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 072, 150S, 1642E,  29, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 078, 158S, 1649E,  27,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 084, 167S, 1653E,  30, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 090, 173S, 1655E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 096, 178S, 1654E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 102, 181S, 1651E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 108, 188S, 1649E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 114, 190S, 1650E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 120, 191S, 1651E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 126, 196S, 1652E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 132, 200S, 1654E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 138, 205S, 1661E,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG04, 144, 208S, 1670E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 000,  93S, 1623E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 006, 100S, 1620E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 012, 101S, 1619E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 018, 107S, 1617E,  20, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 024, 109S, 1617E,  21, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 030, 113S, 1613E,  22, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 036, 113S, 1613E,  23, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 042, 114S, 1612E,  24,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 048, 117S, 1612E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 054, 121S, 1611E,  27,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 060, 124S, 1610E,  26, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 066, 129S, 1610E,  26,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 072, 131S, 1610E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 078, 138S, 1606E,  26,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 084, 141S, 1602E,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 090, 144S, 1602E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 096, 147S, 1601E,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 102, 150S, 1600E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 108, 152S, 1599E,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 114, 156S, 1598E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 120, 157S, 1597E,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 126, 157S, 1594E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 132, 158S, 1593E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 138, 160S, 1596E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG05, 144, 161S, 1598E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 000,  91S, 1617E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 006,  98S, 1612E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 012, 103S, 1609E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 018, 111S, 1610E,  24, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 024, 117S, 1609E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 030, 120S, 1608E,  29,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 036, 125S, 1606E,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 042, 127S, 1606E,  31,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 048, 129S, 1604E,  30,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 054, 131S, 1602E,  27,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 060, 135S, 1599E,  30,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 066, 138S, 1598E,  27,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 072, 139S, 1599E,  30,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 078, 142S, 1599E,  29,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 084, 148S, 1599E,  29,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 090, 154S, 1599E,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 096, 160S, 1601E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 102, 166S, 1603E,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 108, 171S, 1606E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 114, 178S, 1609E,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG06, 120, 180S, 1611E,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
