IO, 03, 2013110900, 03, NG13, 024,  72N,  480E,  11, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG13, 030,  72N,  470E,  10, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG13, 036,  73N,  460E,  11, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG13, 042,  68N,  447E,   8, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 000,  75N,  538E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 006,  77N,  528E,  37, 1007, XX,  34, NEQ, 0000, 0000, 0205, 0000
IO, 03, 2013110900, 03, NG14, 012,  71N,  518E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 018,  70N,  508E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 024,  66N,  503E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 030,  64N,  497E,  19, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 036,  62N,  492E,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 042,  63N,  488E,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 048,  64N,  483E,  15, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 054,  69N,  475E,  13, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 060,  70N,  469E,   9, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 066,  66N,  465E,   8, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 072,  62N,  457E,   6, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG14, 078,  59N,  440E,   6, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG15, 000,  84N,  536E,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG15, 006,  88N,  529E,  36, 1007, XX,  34, NEQ, 0137, 0121, 0130, 0142
IO, 03, 2013110900, 03, NG15, 012,  86N,  520E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG15, 018,  87N,  510E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG15, 024,  88N,  501E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG15, 030,  90N,  490E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG15, 036,  94N,  480E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG15, 042,  96N,  471E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG15, 048,  98N,  460E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 000,  79N,  530E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 006,  80N,  521E,  38, 1006, XX,  34, NEQ, 0000, 0000, 0108, 0188
IO, 03, 2013110900, 03, NG16, 012,  78N,  514E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 018,  77N,  500E,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 024,  70N,  489E,  14, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 030,  70N,  476E,  13, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 036,  66N,  469E,  12, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 042,  66N,  462E,  10, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 048,  66N,  455E,   8, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 054,  69N,  450E,   9, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG16, 060,  67N,  446E,  10, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
