CP, 84, 2012060500, 03, BAMD, 156, 432N, 1290W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD, 168, 413N, 1270W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM,  12, 220N, 1529W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM,  24, 227N, 1558W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM,  36, 232N, 1588W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM,  48, 238N, 1616W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM,  60, 245N, 1642W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM,  72, 261N, 1657W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM,  84, 291N, 1648W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM,  96, 332N, 1613W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM, 108, 376N, 1579W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM, 120, 418N, 1536W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM, 132, 456N, 1463W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM, 144, 485N, 1375W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM, 156, 506N, 1314W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMM, 168, 527N, 1278W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS,  12, 214N, 1529W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS,  24, 218N, 1560W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS,  36, 222N, 1594W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS,  48, 228N, 1626W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS,  60, 239N, 1653W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS,  72, 259N, 1669W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS,  84, 289N, 1656W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS,  96, 328N, 1624W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS, 108, 369N, 1586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS, 120, 408N, 1543W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS, 132, 439N, 1485W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS, 144, 463N, 1415W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
