WP, 08, 2021070712, 03, AP02, 006, 189N, 1062E,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP02, 012, 194N, 1044E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP02, 018, 197N, 1025E,   6, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP02, 024, 197N, 1007E,   4, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP02, 030, 196N,  994E,   4, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP03, 000, 186N, 1074E,  29, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP03, 006, 187N, 1058E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP03, 012, 192N, 1039E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP04, 000, 186N, 1072E,  32, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP04, 006, 189N, 1061E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP04, 012, 194N, 1043E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP05, 000, 185N, 1071E,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP05, 006, 189N, 1060E,  28, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP05, 012, 198N, 1047E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP05, 018, 196N, 1023E,   7, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP05, 024, 194N, 1004E,   4, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP06, 000, 187N, 1071E,  34, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP06, 006, 188N, 1058E,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP06, 012, 192N, 1036E,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP06, 018, 192N, 1016E,   5, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP07, 000, 185N, 1071E,  33, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP07, 006, 186N, 1059E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP07, 012, 190N, 1045E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP07, 018, 191N, 1026E,   6, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP07, 024, 188N, 1001E,   6, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP08, 000, 185N, 1077E,  33,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP08, 006, 188N, 1066E,  28, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP08, 012, 191N, 1054E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP08, 018, 199N, 1034E,  13, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP09, 000, 186N, 1068E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP09, 006, 187N, 1054E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP09, 012, 189N, 1032E,   7, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP09, 018, 192N, 1010E,   6, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP09, 024, 189N, 1000E,   6, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP09, 030, 195N,  990E,   5, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP10, 000, 183N, 1072E,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP10, 006, 184N, 1061E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
