EP, 17, 2014091612, 03, NG01, 072, 220N, 1130W,  35,  997, XX,  34, NEQ, 0243, 0172, 0130, 0000
EP, 17, 2014091612, 03, NG01, 078, 227N, 1137W,  44,  997, XX,  34, NEQ, 0214, 0230, 0147, 0000
EP, 17, 2014091612, 03, NG01, 084, 239N, 1141W,  39,  995, XX,  34, NEQ, 0215, 0236, 0187, 0000
EP, 17, 2014091612, 03, NG01, 090, 251N, 1146W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 096, 266N, 1150W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 102, 280N, 1155W,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 108, 299N, 1161W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 114, 313N, 1166W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 120, 328N, 1174W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 126, 343N, 1181W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 132, 359N, 1181W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 138, 371N, 1185W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 000, 123N, 1007W,  41, 1004, XX,  34, NEQ, 0310, 0213, 0198, 0000
EP, 17, 2014091612, 03, NG02, 006, 131N, 1019W,  37, 1004, XX,  34, NEQ, 0214, 0226, 0000, 0000
EP, 17, 2014091612, 03, NG02, 012, 140N, 1031W,  37, 1001, XX,  34, NEQ, 0214, 0225, 0000, 0000
EP, 17, 2014091612, 03, NG02, 018, 149N, 1044W,  36, 1002, XX,  34, NEQ, 0148, 0330, 0125, 0000
EP, 17, 2014091612, 03, NG02, 024, 154N, 1057W,  41, 1000, XX,  34, NEQ, 0188, 0221, 0223, 0000
EP, 17, 2014091612, 03, NG02, 030, 161N, 1069W,  42, 1000, XX,  34, NEQ, 0203, 0400, 0213, 0000
EP, 17, 2014091612, 03, NG02, 036, 167N, 1079W,  39,  998, XX,  34, NEQ, 0212, 0425, 0152, 0146
EP, 17, 2014091612, 03, NG02, 042, 175N, 1087W,  45,  998, XX,  34, NEQ, 0325, 0435, 0214, 0173
EP, 17, 2014091612, 03, NG02, 048, 183N, 1095W,  45,  997, XX,  34, NEQ, 0200, 0229, 0223, 0171
EP, 17, 2014091612, 03, NG02, 054, 193N, 1106W,  48,  998, XX,  34, NEQ, 0305, 0243, 0212, 0158
EP, 17, 2014091612, 03, NG02, 060, 202N, 1116W,  49,  996, XX,  34, NEQ, 0229, 0225, 0190, 0154
EP, 17, 2014091612, 03, NG02, 066, 207N, 1126W,  43,  999, XX,  34, NEQ, 0205, 0128, 0184, 0000
EP, 17, 2014091612, 03, NG02, 072, 212N, 1135W,  40,  998, XX,  34, NEQ, 0216, 0250, 0190, 0000
EP, 17, 2014091612, 03, NG02, 078, 217N, 1142W,  39, 1000, XX,  34, NEQ, 0176, 0124, 0195, 0000
EP, 17, 2014091612, 03, NG02, 084, 220N, 1148W,  38,  998, XX,  34, NEQ, 0177, 0139, 0201, 0000
EP, 17, 2014091612, 03, NG02, 090, 222N, 1151W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 096, 227N, 1155W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 102, 229N, 1158W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 108, 233N, 1159W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 114, 239N, 1161W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 120, 249N, 1162W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 126, 260N, 1161W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 132, 272N, 1160W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 138, 287N, 1159W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 144, 304N, 1161W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 150, 319N, 1162W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 156, 330N, 1165W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 162, 338N, 1166W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 168, 340N, 1167W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 174, 336N, 1163W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG02, 180, 332N, 1164W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG03, 000, 121N,  976W,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 000, 128N,  989W,  31, 1006, XX,  34, NEQ, 0172, 0180, 0000, 0000
EP, 17, 2014091612, 03, NG04, 006, 131N,  999W,  30, 1006, XX,  34, NEQ, 0000, 0184, 0000, 0000
EP, 17, 2014091612, 03, NG04, 012, 136N, 1008W,  30, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 018, 143N, 1016W,  31, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 024, 152N, 1025W,  32, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 030, 165N, 1038W,  30, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 036, 178N, 1050W,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 042, 181N, 1063W,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 048, 184N, 1076W,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 054, 190N, 1082W,  25, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 060, 194N, 1087W,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 066, 200N, 1092W,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 072, 206N, 1099W,  29, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 078, 211N, 1105W,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 084, 218N, 1108W,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
