IO, 01, 2021051312, 01, CARQ, -24,  94N,  672E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051312, 01, CARQ, -18,  94N,  687E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051312, 01, CARQ, -12,  95N,  700E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  82,  11,     INVEST,  , 
IO, 01, 2021051312, 01, CARQ,  -6,  97N,  710E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051312, 01, CARQ,   0, 100N,  719E,  30, 1000, TD,  34, NEQ,    0,    0,    0,    0, 1004,  200,  60,   0,   0,   A,   0,   X,  80,  11,     INVEST, S, 
IO, 01, 2021051312, 01, CARQ,   0, 100N,  719E,  30, 1000, TD,  50, NEQ,    0,    0,    0,    0, 1004,  200,  60,   0,   0,   A,   0,   X,  80,  11,     INVEST, S, 
IO, 01, 2021051312, 01, CARQ,   0, 100N,  719E,  30, 1000, TD,  64, NEQ,    0,    0,    0,    0, 1004,  200,  60,   0,   0,   A,   0,   X,  80,  11,     INVEST, S, 
IO, 01, 2021051318, 01, CARQ, -24,  94N,  687E,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 01, 2021051318, 01, CARQ, -18,  95N,  700E,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 01, 2021051318, 01, CARQ, -12,  97N,  710E,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 01, 2021051318, 01, CARQ,  -6, 100N,  717E,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 01, 2021051318, 01, CARQ,   0, 104N,  721E,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 01, 2021051400, 01, CARQ, -24,  95N,  700E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051400, 01, CARQ, -18,  97N,  710E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051400, 01, CARQ, -12, 100N,  717E,  30,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  57,   6,     INVEST,  , 
IO, 01, 2021051400, 01, CARQ,  -6, 104N,  721E,  30,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
