AL, 89, 2005110918, 03, A90E,  72, 212N,  874W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E,  84, 211N,  873W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E,  96, 212N,  876W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E, 108, 213N,  879W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E, 120, 211N,  878W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,   0, 240N,  900W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,  12, 243N,  886W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,  24, 240N,  879W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,  36, 228N,  872W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,  48, 222N,  866W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,  60, 215N,  874W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,  72, 212N,  874W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,  84, 211N,  873W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E,  96, 214N,  875W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E, 108, 217N,  876W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A98E, 120, 216N,  873W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD,  12, 237N,  898W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD,  24, 229N,  896W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD,  36, 218N,  897W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD,  48, 211N,  901W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD,  60, 209N,  906W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD,  72, 215N,  910W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD,  84, 228N,  911W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD,  96, 243N,  907W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD, 108, 260N,  892W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMD, 120, 278N,  860W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM,  12, 242N,  908W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM,  24, 241N,  916W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM,  36, 238N,  924W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM,  48, 238N,  932W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM,  60, 244N,  939W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM,  72, 258N,  942W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM,  84, 277N,  937W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM,  96, 297N,  927W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM, 108, 316N,  907W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMM, 120, 336N,  869W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS,  12, 240N,  910W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS,  24, 236N,  920W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS,  36, 230N,  935W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS,  48, 231N,  947W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS,  60, 236N,  956W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS,  72, 246N,  961W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS,  84, 257N,  965W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS,  96, 267N,  971W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS, 108, 276N,  977W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, BAMS, 120, 284N,  978W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, CLIP,  12, 247N,  881W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, CLIP,  24, 256N,  859W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, CLIP,  36, 268N,  835W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, CLIP,  48, 282N,  811W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, CLIP,  72, 307N,  765W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, CLP5,  12, 248N,  883W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
