EP, 10, 2014080412, 03, NG02, 132, 193N, 1540W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 138, 199N, 1551W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 144, 202N, 1565W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 150, 207N, 1573W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 156, 212N, 1586W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 162, 218N, 1596W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 168, 223N, 1606W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 174, 232N, 1615W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 180, 241N, 1622W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 090, 150N, 1406W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 096, 150N, 1420W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 102, 152N, 1433W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 108, 153N, 1446W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 114, 157N, 1458W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 120, 159N, 1472W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 126, 162N, 1487W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 132, 165N, 1501W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 138, 171N, 1511W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 144, 180N, 1520W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 150, 189N, 1530W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 156, 199N, 1541W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 162, 207N, 1556W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 168, 215N, 1565W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 174, 225N, 1576W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG03, 180, 234N, 1586W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 090, 164N, 1391W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 096, 164N, 1406W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 102, 164N, 1420W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 108, 166N, 1434W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 114, 168N, 1449W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 120, 172N, 1463W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
