SH, 91, 2013011900, 03, NG01, 012, 139S, 1798W,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 018, 140S, 1786W,  30, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 024, 143S, 1773W,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 030, 143S, 1760W,  31, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 036, 144S, 1747W,  31, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 042, 146S, 1733W,  31, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 048, 150S, 1720W,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 054, 151S, 1709W,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 060, 157S, 1700W,  29, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 066, 160S, 1691W,  30, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 072, 165S, 1685W,  30,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 078, 170S, 1681W,  28,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 084, 173S, 1678W,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 090, 179S, 1675W,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 096, 180S, 1671W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 102, 182S, 1668W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 108, 186S, 1660W,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 114, 192S, 1651W,   0,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 120, 199S, 1643W,   0,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 126, 206S, 1633W,   0,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 132, 211S, 1620W,   0,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 138, 218S, 1609W,   0,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 144, 227S, 1593W,   0,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG02, 000, 136S, 1760E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG02, 006, 137S, 1774E,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG02, 012, 138S, 1785E,  11, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 000, 114S, 1759E,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
