AL, 92, 2014091100, 03, NG18, 018, 282N,  762W,  14, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 024, 276N,  764W,  15, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 030, 274N,  767W,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 036, 273N,  770W,  16, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 042, 273N,  773W,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 048, 276N,  783W,  22, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 054, 281N,  794W,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 060, 286N,  803W,  20, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 066, 289N,  810W,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 072, 292N,  818W,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 078, 299N,  819W,  17, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 084, 305N,  819W,  17, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 090, 310N,  816W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 096, 312N,  815W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 102, 317N,  814W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 108, 325N,  803W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 114, 328N,  794W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 120, 329N,  785W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 126, 333N,  772W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 132, 343N,  756W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 138, 358N,  741W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 144, 372N,  726W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 150, 388N,  707W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 156, 404N,  684W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 162, 420N,  662W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 168, 431N,  639W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 174, 441N,  617W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 180, 451N,  589W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG19, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG20, 000, 253N,  772W,  13, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG20, 006, 254N,  780W,  16, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG20, 012, 258N,  784W,  13, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG20, 018, 258N,  793W,  15, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG20, 024, 255N,  801W,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG20, 030, 257N,  809W,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG20, 036, 259N,  816W,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG20, 042, 258N,  829W,  11, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NVGM, 000, 266N,  771W,  18, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NVGM, 006, 267N,  777W,  18, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NVGM, 012, 270N,  781W,  17, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NVGM, 018, 272N,  786W,  17, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NVGM, 024, 274N,  788W,  16, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NVGM, 030, 274N,  795W,  16, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091106, 03, GFDN,   0, 270N,  768W,  20, 1013
AL, 92, 2014091106, 03, GFDN,   6, 271N,  776W,  18, 1013
AL, 92, 2014091106, 03, GFDN,  12, 274N,  781W,  20, 1013
AL, 92, 2014091106, 03, GFDN,  18, 274N,  789W,  20, 1012
