CP, 91, 2009072006, 03, AVNO,  12,  96N, 1644W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AVNO,  18, 100N, 1661W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AVNO,  24, 103N, 1679W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AVNO,  30, 105N, 1697W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AVNO,  36, 110N, 1718W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AVNO,  42, 114N, 1734W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AVNO,  48, 113N, 1754W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD,  12,  99N, 1636W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD,  24, 105N, 1663W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD,  36, 110N, 1688W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD,  48, 115N, 1713W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD,  60, 119N, 1735W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD,  72, 121N, 1755W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD,  84, 120N, 1772W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD,  96, 121N, 1787W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD, 108, 124N, 1798W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMD, 120, 132N, 1790E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM,  12,  98N, 1641W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM,  24, 102N, 1674W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM,  36, 102N, 1708W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM,  48, 105N, 1745W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM,  60, 107N, 1780W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM,  72, 110N, 1786E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM,  84, 111N, 1755E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM,  96, 112N, 1729E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM, 108, 111N, 1706E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMM, 120, 112N, 1685E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS,  12,  97N, 1645W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS,  24, 103N, 1686W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS,  36, 107N, 1728W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS,  48, 111N, 1771W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS,  60, 116N, 1785E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS,  72, 124N, 1745E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS,  84, 131N, 1707E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS,  96, 134N, 1675E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS, 108, 133N, 1650E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, BAMS, 120, 135N, 1626E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLIP,  12,  89N, 1631W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLIP,  24,  85N, 1654W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLIP,  36,  84N, 1678W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLIP,  48,  89N, 1691W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLIP,  60,  93N, 1709W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLIP,  72,  88N, 1722W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5,  12,  91N, 1632W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
