IO, 91, 2023050912, 03, CTCX, 042, 128N,  884E,  75,  974, XX,  34, NEQ, 0222, 0201, 0149, 0217,    0,    0, 031
IO, 91, 2023050912, 03, CTCX, 042, 128N,  884E,  75,  974, XX,  50, NEQ, 0099, 0104, 0092, 0162,    0,    0, 031
IO, 91, 2023050912, 03, CTCX, 042, 128N,  884E,  75,  974, XX,  64, NEQ, 0038, 0000, 0017, 0038,    0,    0, 031
IO, 91, 2023050912, 03, CTCX, 048, 136N,  883E,  76,  963, XX,  34, NEQ, 0201, 0227, 0205, 0167,    0,    0, 017
IO, 91, 2023050912, 03, CTCX, 048, 136N,  883E,  76,  963, XX,  50, NEQ, 0051, 0106, 0084, 0081,    0,    0, 017
IO, 91, 2023050912, 03, CTCX, 048, 136N,  883E,  76,  963, XX,  64, NEQ, 0000, 0038, 0041, 0041,    0,    0, 017
IO, 91, 2023050912, 03, CTCX, 054, 141N,  883E, 100,  957, XX,  34, NEQ, 0198, 0202, 0202, 0175,    0,    0, 015
IO, 91, 2023050912, 03, CTCX, 054, 141N,  883E, 100,  957, XX,  50, NEQ, 0059, 0079, 0073, 0080,    0,    0, 015
IO, 91, 2023050912, 03, CTCX, 054, 141N,  883E, 100,  957, XX,  64, NEQ, 0038, 0039, 0037, 0038,    0,    0, 015
IO, 91, 2023050912, 03, CTCX, 060, 144N,  886E, 107,  946, XX,  34, NEQ, 0214, 0265, 0216, 0179,    0,    0, 015
IO, 91, 2023050912, 03, CTCX, 060, 144N,  886E, 107,  946, XX,  50, NEQ, 0069, 0111, 0119, 0135,    0,    0, 015
IO, 91, 2023050912, 03, CTCX, 060, 144N,  886E, 107,  946, XX,  64, NEQ, 0034, 0031, 0042, 0049,    0,    0, 015
IO, 91, 2023050912, 03, CTCX, 066, 152N,  890E, 116,  939, XX,  34, NEQ, 0211, 0298, 0252, 0179,    0,    0, 026
IO, 91, 2023050912, 03, CTCX, 066, 152N,  890E, 116,  939, XX,  50, NEQ, 0123, 0117, 0115, 0102,    0,    0, 026
IO, 91, 2023050912, 03, CTCX, 066, 152N,  890E, 116,  939, XX,  64, NEQ, 0024, 0051, 0050, 0027,    0,    0, 026
IO, 91, 2023050912, 03, CTCX, 072, 158N,  897E, 118,  930, XX,  34, NEQ, 0216, 0236, 0246, 0179,    0,    0, 012
IO, 91, 2023050912, 03, CTCX, 072, 158N,  897E, 118,  930, XX,  50, NEQ, 0065, 0090, 0083, 0090,    0,    0, 012
IO, 91, 2023050912, 03, CTCX, 072, 158N,  897E, 118,  930, XX,  64, NEQ, 0020, 0062, 0061, 0027,    0,    0, 012
