IO, 01, 2020051612, 03, JTWC,  72, 187N,  878E,  80,    0, TY,  64, NEQ,   40,   50,   40,   40,    0,    0,   0, 100,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  96, 231N,  893E,  50,    0, TS,  34, NEQ,  140,  160,  110,   90,    0,    0,   0,  65,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC, 120, 248N,  899E,  30,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  40,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, NVGM, 000, 101N,  862E,  44,  994, XX,  34, NEQ, 0000, 0100, 0139, 0000,    0,    0, 081
IO, 01, 2020051612, 03, NVGM, 006, 106N,  864E,  45,  991, XX,  34, NEQ, 0143, 0121, 0114, 0052,    0,    0, 068
IO, 01, 2020051612, 03, NVGM, 012, 111N,  864E,  52,  987, XX,  34, NEQ, 0118, 0065, 0164, 0085,    0,    0, 058
IO, 01, 2020051612, 03, NVGM, 012, 111N,  864E,  52,  987, XX,  50, NEQ, 0068, 0000, 0000, 0057,    0,    0, 058
IO, 01, 2020051612, 03, NVGM, 018, 115N,  866E,  54,  984, XX,  34, NEQ, 0035, 0230, 0100, 0168,    0,    0, 063
IO, 01, 2020051612, 03, NVGM, 018, 115N,  866E,  54,  984, XX,  50, NEQ, 0059, 0092, 0086, 0055,    0,    0, 063
IO, 01, 2020051612, 03, NVGM, 024, 123N,  869E,  61,  978, XX,  34, NEQ, 0216, 0140, 0140, 0052,    0,    0, 051
IO, 01, 2020051612, 03, NVGM, 024, 123N,  869E,  61,  978, XX,  50, NEQ, 0092, 0111, 0103, 0043,    0,    0, 051
IO, 01, 2020051612, 03, NVGM, 030, 130N,  869E,  68,  973, XX,  34, NEQ, 0233, 0260, 0185, 0169,    0,    0, 048
IO, 01, 2020051612, 03, NVGM, 030, 130N,  869E,  68,  973, XX,  50, NEQ, 0113, 0102, 0101, 0033,    0,    0, 048
IO, 01, 2020051612, 03, NVGM, 030, 130N,  869E,  68,  973, XX,  64, NEQ, 0044, 0057, 0053, 0042,    0,    0, 048
IO, 01, 2020051612, 03, NVGM, 036, 137N,  871E,  87,  964, XX,  34, NEQ, 0095, 0361, 0050, 0205,    0,    0, 026
IO, 01, 2020051612, 03, NVGM, 036, 137N,  871E,  87,  964, XX,  50, NEQ, 0100, 0142, 0040, 0119,    0,    0, 026
IO, 01, 2020051612, 03, NVGM, 036, 137N,  871E,  87,  964, XX,  64, NEQ, 0061, 0076, 0040, 0059,    0,    0, 026
IO, 01, 2020051612, 03, NVGM, 042, 146N,  872E, 102,  958, XX,  34, NEQ, 0238, 0075, 0050, 0190,    0,    0, 019
