WP, 96, 2013012606, 01, CARQ,   0, 108N, 1289E,  15, 1010, XX,  50, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  23,  12,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012606, 01, CARQ,   0, 108N, 1289E,  15, 1010, XX,  64, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  23,  12,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012612, 01, CARQ, -24, 085N, 1279E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  23,  11,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012612, 01, CARQ, -18, 085N, 1279E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  45,   5,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012612, 01, CARQ, -12, 073N, 1272E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 210,   7,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012612, 01, CARQ,  -6, 108N, 1289E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  23,  12,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012612, 01, CARQ,   0, 126N, 1264E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 352,  27,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012612, 01, CARQ,   0, 126N, 1264E,  15, 1010, XX,  50, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 352,  27,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012612, 01, CARQ,   0, 126N, 1264E,  15, 1010, XX,  64, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 352,  27,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012618, 01, CARQ, -24, 085N, 1279E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  45,   5,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012618, 01, CARQ, -18, 073N, 1272E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 210,   7,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012618, 01, CARQ, -12, 108N, 1289E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  23,  12,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
