AL, 93, 2014073012, 03, GFDN,  90, 195N,  638W,  84,  981
AL, 93, 2014073012, 03, GFDN,  96, 204N,  652W,  80,  981
AL, 93, 2014073100, 03, NG01, 132, 260N,  687W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 138, 269N,  690W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 144, 278N,  692W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 150, 283N,  693W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 156, 291N,  692W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 162, 300N,  689W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 168, 307N,  684W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 174, 314N,  676W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 180, 322N,  665W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 090, 210N,  690W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 096, 220N,  699W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 102, 231N,  707W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 108, 241N,  712W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 114, 252N,  717W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 120, 262N,  718W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 126, 271N,  720W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 132, 280N,  720W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 138, 289N,  715W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 144, 297N,  711W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 150, 304N,  704W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 156, 310N,  696W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 162, 315N,  686W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 168, 319N,  678W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 174, 322N,  669W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG02, 180, 329N,  657W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG03, 090, 203N,  681W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG03, 096, 208N,  689W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG03, 102, 215N,  698W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG03, 108, 220N,  708W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG03, 114, 225N,  715W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG03, 120, 229N,  721W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG03, 126, 236N,  729W,   0, 1017, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG03, 132, 240N,  739W,   0, 1017, XX,  34, NEQ, 0000, 0000, 0000, 0000
