IO, 91, 2020051500, 03, NG04, 006, 126N,  881E,  27, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 110
IO, 91, 2020051500, 03, NG04, 012, 126N,  871E,  30,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 152
IO, 91, 2020051500, 03, NG04, 018, 131N,  867E,  29,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 078
IO, 91, 2020051500, 03, NG04, 024, 136N,  859E,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 066
IO, 91, 2020051500, 03, NG04, 030, 135N,  848E,  32, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 115
IO, 91, 2020051500, 03, NG04, 036, 130N,  840E,  31,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
IO, 91, 2020051500, 03, NG04, 042, 124N,  838E,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
IO, 91, 2020051500, 03, NG04, 048, 126N,  848E,  30,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 160
IO, 91, 2020051500, 03, NG04, 054, 128N,  843E,  33,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 103
IO, 91, 2020051500, 03, NG04, 060, 120N,  843E,  39,  994, XX,  34, NEQ, 0000, 0089, 0108, 0077,    0,    0, 090
IO, 91, 2020051500, 03, NG04, 066, 120N,  852E,  45,  996, XX,  34, NEQ, 0198, 0124, 0181, 0000,    0,    0, 063
IO, 91, 2020051500, 03, NG04, 072, 136N,  862E,  39,  992, XX,  34, NEQ, 0175, 0225, 0255, 0087,    0,    0, 086
IO, 91, 2020051500, 03, NG04, 078, 141N,  858E,  38,  992, XX,  34, NEQ, 0200, 0256, 0248, 0076,    0,    0, 095
IO, 91, 2020051500, 03, NG04, 084, 134N,  864E,  43,  989, XX,  34, NEQ, 0200, 0231, 0147, 0145,    0,    0, 147
IO, 91, 2020051500, 03, NG04, 090, 141N,  874E,  49,  989, XX,  34, NEQ, 0139, 0130, 0228, 0190,    0,    0, 125
IO, 91, 2020051500, 03, NG04, 096, 153N,  869E,  46,  985, XX,  34, NEQ, 0233, 0170, 0238, 0167,    0,    0, 113
IO, 91, 2020051500, 03, NG04, 102, 157N,  874E,  48,  985, XX,  34, NEQ, 0210, 0225, 0228, 0065,    0,    0, 093
IO, 91, 2020051500, 03, NG04, 108, 167N,  881E,  47,  985, XX,  34, NEQ, 0170, 0253, 0090, 0140,    0,    0, 101
IO, 91, 2020051500, 03, NG04, 114, 179N,  884E,  51,  985, XX,  34, NEQ, 0125, 0185, 0151, 0048,    0,    0, 083
IO, 91, 2020051500, 03, NG04, 114, 179N,  884E,  51,  985, XX,  50, NEQ, 0000, 0000, 0081, 0000,    0,    0, 083
IO, 91, 2020051500, 03, NG04, 120, 190N,  891E,  45,  982, XX,  34, NEQ, 0206, 0208, 0095, 0049,    0,    0, 095
IO, 91, 2020051500, 03, NG04, 126, 200N,  895E,  50,  982, XX,  34, NEQ, 0145, 0206, 0181, 0049,    0,    0, 065
IO, 91, 2020051500, 03, NG04, 132, 212N,  904E,  42,  982, XX,  34, NEQ, 0087, 0193, 0169, 0043,    0,    0, 052
IO, 91, 2020051500, 03, NG04, 138, 226N,  910E,  37,  986, XX,  34, NEQ, 0000, 0131, 0077, 0000,    0,    0, 103
IO, 91, 2020051500, 03, NG04, 144, 241N,  915E,  27,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 126
IO, 91, 2020051500, 03, NG04, 150, 253N,  923E,  15,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 052
IO, 91, 2020051500, 03, NG04, 156, 266N,  942E,   9,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 144
IO, 91, 2020051500, 03, NG04, 162, 272N,  953E,   8, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 137
IO, 91, 2020051500, 03, NG05, 000, 103N,  885E,  31, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 076
IO, 91, 2020051500, 03, NG05, 006, 111N,  880E,  34,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 157
IO, 91, 2020051500, 03, NG05, 012, 110N,  873E,  32,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 133
IO, 91, 2020051500, 03, NG05, 018, 112N,  873E,  33,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 130
IO, 91, 2020051500, 03, NG05, 024, 113N,  872E,  34,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 130
IO, 91, 2020051500, 03, NG05, 030, 113N,  869E,  34,  998, XX,  34, NEQ, 0104, 0000, 0205, 0000,    0,    0, 096
IO, 91, 2020051500, 03, NG05, 036, 113N,  866E,  39,  995, XX,  34, NEQ, 0102, 0101, 0143, 0000,    0,    0, 045
IO, 91, 2020051500, 03, NG05, 042, 112N,  862E,  41,  995, XX,  34, NEQ, 0153, 0132, 0150, 0056,    0,    0, 081
IO, 91, 2020051500, 03, NG05, 048, 106N,  860E,  44,  992, XX,  34, NEQ, 0083, 0125, 0211, 0115,    0,    0, 161
IO, 91, 2020051500, 03, NG05, 054, 100N,  872E,  58,  990, XX,  34, NEQ, 0086, 0181, 0190, 0037,    0,    0, 063
IO, 91, 2020051500, 03, NG05, 054, 100N,  872E,  58,  990, XX,  50, NEQ, 0000, 0086, 0000, 0000,    0,    0, 063
IO, 91, 2020051500, 03, NG05, 060, 104N,  885E,  56,  985, XX,  34, NEQ, 0143, 0120, 0202, 0082,    0,    0, 046
IO, 91, 2020051500, 03, NG05, 060, 104N,  885E,  56,  985, XX,  50, NEQ, 0063, 0096, 0000, 0000,    0,    0, 046
IO, 91, 2020051500, 03, NG05, 066, 109N,  891E,  62,  981, XX,  34, NEQ, 0130, 0234, 0125, 0095,    0,    0, 052
IO, 91, 2020051500, 03, NG05, 066, 109N,  891E,  62,  981, XX,  50, NEQ, 0096, 0128, 0144, 0000,    0,    0, 052
IO, 91, 2020051500, 03, NG05, 072, 114N,  893E,  62,  974, XX,  34, NEQ, 0140, 0110, 0261, 0135,    0,    0, 093
IO, 91, 2020051500, 03, NG05, 072, 114N,  893E,  62,  974, XX,  50, NEQ, 0126, 0110, 0155, 0120,    0,    0, 093
IO, 91, 2020051500, 03, NG05, 078, 122N,  892E,  63,  975, XX,  34, NEQ, 0110, 0225, 0140, 0084,    0,    0, 047
IO, 91, 2020051500, 03, NG05, 078, 122N,  892E,  63,  975, XX,  50, NEQ, 0162, 0163, 0073, 0043,    0,    0, 047
IO, 91, 2020051500, 03, NG05, 084, 128N,  888E,  70,  969, XX,  34, NEQ, 0125, 0150, 0175, 0164,    0,    0, 054
IO, 91, 2020051500, 03, NG05, 084, 128N,  888E,  70,  969, XX,  50, NEQ, 0083, 0150, 0141, 0096,    0,    0, 054
IO, 91, 2020051500, 03, NG05, 084, 128N,  888E,  70,  969, XX,  64, NEQ, 0000, 0065, 0080, 0000,    0,    0, 054
IO, 91, 2020051500, 03, NG05, 090, 133N,  888E,  79,  967, XX,  34, NEQ, 0238, 0255, 0207, 0130,    0,    0, 044
IO, 91, 2020051500, 03, NG05, 090, 133N,  888E,  79,  967, XX,  50, NEQ, 0125, 0171, 0130, 0110,    0,    0, 044
IO, 91, 2020051500, 03, NG05, 090, 133N,  888E,  79,  967, XX,  64, NEQ, 0081, 0073, 0088, 0000,    0,    0, 044
IO, 91, 2020051500, 03, NG05, 096, 143N,  889E,  76,  961, XX,  34, NEQ, 0130, 0243, 0190, 0090,    0,    0, 067
