IO, 01, 2019042700, 03, NG03, 126, 147N,  838E,  62,  992, XX,  34, NEQ, 0124, 0075, 0226, 0075,    0,    0, 045
IO, 01, 2019042700, 03, NG03, 126, 147N,  838E,  62,  992, XX,  50, NEQ, 0000, 0076, 0082, 0000,    0,    0, 045
IO, 01, 2019042700, 03, NG03, 132, 152N,  849E,  65,  989, XX,  34, NEQ, 0092, 0120, 0080, 0063,    0,    0, 043
IO, 01, 2019042700, 03, NG03, 132, 152N,  849E,  65,  989, XX,  50, NEQ, 0000, 0075, 0082, 0000,    0,    0, 043
IO, 01, 2019042700, 03, NG03, 132, 152N,  849E,  65,  989, XX,  64, NEQ, 0000, 0044, 0000, 0000,    0,    0, 043
IO, 01, 2019042700, 03, NG03, 138, 154N,  856E,  55,  991, XX,  34, NEQ, 0078, 0140, 0116, 0054,    0,    0, 054
IO, 01, 2019042700, 03, NG03, 138, 154N,  856E,  55,  991, XX,  50, NEQ, 0000, 0000, 0077, 0000,    0,    0, 054
IO, 01, 2019042700, 03, NG03, 144, 156N,  866E,  64,  989, XX,  34, NEQ, 0089, 0147, 0154, 0025,    0,    0, 038
IO, 01, 2019042700, 03, NG03, 144, 156N,  866E,  64,  989, XX,  50, NEQ, 0000, 0074, 0095, 0000,    0,    0, 038
IO, 01, 2019042700, 03, NG03, 144, 156N,  866E,  64,  989, XX,  64, NEQ, 0000, 0000, 0039, 0000,    0,    0, 038
IO, 01, 2019042700, 03, NG03, 150, 161N,  872E,  59,  990, XX,  34, NEQ, 0121, 0152, 0075, 0080,    0,    0, 039
IO, 01, 2019042700, 03, NG03, 150, 161N,  872E,  59,  990, XX,  50, NEQ, 0000, 0053, 0054, 0000,    0,    0, 039
IO, 01, 2019042700, 03, NG03, 156, 163N,  876E,  59,  987, XX,  34, NEQ, 0098, 0115, 0075, 0020,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 156, 163N,  876E,  59,  987, XX,  50, NEQ, 0000, 0000, 0085, 0000,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 162, 161N,  879E,  61,  988, XX,  34, NEQ, 0081, 0187, 0138, 0095,    0,    0, 045
IO, 01, 2019042700, 03, NG03, 162, 161N,  879E,  61,  988, XX,  50, NEQ, 0000, 0070, 0084, 0042,    0,    0, 045
