SH, 06, 2016010100, 99, CHP2,  96, 206S, 1797E,  33,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2, 102, 206S, 1796E,  32,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2, 108, 207S, 1795E,  32,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2, 114, 208S, 1794E,  31,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2, 120, 209S, 1792E,  30,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,   0, 167S, 1704W,  86,  971,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,   6, 170S, 1715W,  82,  973,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  12, 174S, 1726W,  81,  974,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  18, 176S, 1738W,  80,  975,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  24, 179S, 1750W,  78,  976,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  30, 181S, 1760W,  77,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  36, 184S, 1771W,  76,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  42, 186S, 1777W,  77,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  48, 189S, 1784W,  74,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  54, 191S, 1787W,  69,  980,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  60, 194S, 1790W,  54,  989,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  66, 196S, 1793W,  44,  992,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  72, 199S, 1797W,  40,  994,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  78, 200S, 1798W,  38,  996,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  84, 202S, 1799W,  37,  996,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  90, 204S, 1799E,  35,  997,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3,  96, 206S, 1797E,  33,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3, 102, 206S, 1796E,  32,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3, 108, 207S, 1795E,  31,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3, 114, 208S, 1794E,  31,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP3, 120, 209S, 1792E,  30,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,   0, 167S, 1704W,  90,  968,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,   6, 170S, 1715W,  85,  971,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  12, 174S, 1726W,  82,  973,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  18, 176S, 1738W,  80,  975,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  24, 179S, 1750W,  79,  976,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  30, 181S, 1760W,  77,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  36, 184S, 1771W,  76,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  42, 186S, 1777W,  76,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  48, 189S, 1784W,  73,  978,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  54, 191S, 1787W,  69,  980,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  60, 194S, 1790W,  54,  988,   ,   0,    ,    0,    0,    0,    0,
