IO, 08, 2018121606, 03, AP15, 006, 132N,  831E,  42,  997, XX,  34, NEQ, 0088, 0000, 0103, 0195
IO, 08, 2018121606, 03, AP15, 012, 140N,  828E,  40, 1001, XX,  34, NEQ, 0104, 0100, 0085, 0096
IO, 08, 2018121606, 03, AP15, 018, 152N,  823E,  39, 1000, XX,  34, NEQ, 0085, 0098, 0070, 0000
IO, 08, 2018121606, 03, AP15, 024, 163N,  820E,  33, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP15, 030, 172N,  820E,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP15, 036, 177N,  819E,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP15, 042, 185N,  820E,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP15, 048, 189N,  818E,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP15, 054, 197N,  830E,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP15, 060, 198N,  834E,  19, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP16, 000, 125N,  838E,  41,  995, XX,  34, NEQ, 0094, 0000, 0108, 0117
IO, 08, 2018121606, 03, AP16, 006, 132N,  835E,  44,  998, XX,  34, NEQ, 0091, 0088, 0099, 0199
IO, 08, 2018121606, 03, AP16, 012, 142N,  833E,  42,  999, XX,  34, NEQ, 0134, 0131, 0084, 0095
IO, 08, 2018121606, 03, AP16, 018, 152N,  832E,  41,  998, XX,  34, NEQ, 0114, 0104, 0083, 0091
IO, 08, 2018121606, 03, AP16, 024, 162N,  832E,  39, 1001, XX,  34, NEQ, 0087, 0083, 0059, 0000
IO, 08, 2018121606, 03, AP16, 030, 172N,  833E,  35, 1002, XX,  34, NEQ, 0071, 0071, 0000, 0000
IO, 08, 2018121606, 03, AP16, 036, 184N,  833E,  26, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP16, 042, 194N,  836E,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP16, 048, 204N,  846E,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP16, 054, 201N,  848E,  24, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
