SH, 07, 2016011500, 03, CTCX, 006, 147S, 1651W,  53,  990, XX,  50, NEQ, 0000, 0114, 0000, 0000,    0,    0, 108
SH, 07, 2016011500, 03, CTCX, 012, 148S, 1659W,  53,  988, XX,  34, NEQ, 0273, 0227, 0193, 0207,    0,    0, 073
SH, 07, 2016011500, 03, CTCX, 012, 148S, 1659W,  53,  988, XX,  50, NEQ, 0162, 0172, 0000, 0164,    0,    0, 073
SH, 07, 2016011500, 03, CTCX, 018, 145S, 1656W,  63,  983, XX,  34, NEQ, 0288, 0288, 0206, 0265,    0,    0, 097
SH, 07, 2016011500, 03, CTCX, 018, 145S, 1656W,  63,  983, XX,  50, NEQ, 0152, 0111, 0119, 0119,    0,    0, 097
SH, 07, 2016011500, 03, CTCX, 024, 146S, 1655W,  68,  979, XX,  34, NEQ, 0255, 0250, 0234, 0217,    0,    0, 075
SH, 07, 2016011500, 03, CTCX, 024, 146S, 1655W,  68,  979, XX,  50, NEQ, 0206, 0119, 0124, 0129,    0,    0, 075
SH, 07, 2016011500, 03, CTCX, 024, 146S, 1655W,  68,  979, XX,  64, NEQ, 0093, 0102, 0000, 0073,    0,    0, 075
SH, 07, 2016011500, 03, CTCX, 030, 150S, 1656W,  72,  973, XX,  34, NEQ, 0343, 0302, 0244, 0236,    0,    0, 081
SH, 07, 2016011500, 03, CTCX, 030, 150S, 1656W,  72,  973, XX,  50, NEQ, 0187, 0228, 0128, 0107,    0,    0, 081
SH, 07, 2016011500, 03, CTCX, 030, 150S, 1656W,  72,  973, XX,  64, NEQ, 0113, 0075, 0097, 0053,    0,    0, 081
SH, 07, 2016011500, 03, CTCX, 036, 154S, 1655W,  84,  970, XX,  34, NEQ, 0299, 0323, 0235, 0284,    0,    0, 053
SH, 07, 2016011500, 03, CTCX, 036, 154S, 1655W,  84,  970, XX,  50, NEQ, 0204, 0183, 0148, 0099,    0,    0, 053
SH, 07, 2016011500, 03, CTCX, 036, 154S, 1655W,  84,  970, XX,  64, NEQ, 0064, 0122, 0110, 0061,    0,    0, 053
SH, 07, 2016011500, 03, CTCX, 042, 160S, 1655W,  73,  966, XX,  34, NEQ, 0338, 0342, 0252, 0237,    0,    0, 055
SH, 07, 2016011500, 03, CTCX, 042, 160S, 1655W,  73,  966, XX,  50, NEQ, 0203, 0197, 0149, 0109,    0,    0, 055
SH, 07, 2016011500, 03, CTCX, 042, 160S, 1655W,  73,  966, XX,  64, NEQ, 0071, 0084, 0082, 0076,    0,    0, 055
SH, 07, 2016011500, 03, CTCX, 048, 168S, 1653W,  74,  966, XX,  34, NEQ, 0309, 0327, 0249, 0235,    0,    0, 092
SH, 07, 2016011500, 03, CTCX, 048, 168S, 1653W,  74,  966, XX,  50, NEQ, 0210, 0192, 0124, 0124,    0,    0, 092
SH, 07, 2016011500, 03, CTCX, 048, 168S, 1653W,  74,  966, XX,  64, NEQ, 0092, 0098, 0058, 0000,    0,    0, 092
SH, 07, 2016011500, 03, CTCX, 054, 177S, 1652W,  76,  960, XX,  34, NEQ, 0317, 0341, 0277, 0213,    0,    0, 047
SH, 07, 2016011500, 03, CTCX, 054, 177S, 1652W,  76,  960, XX,  50, NEQ, 0207, 0219, 0138, 0143,    0,    0, 047
SH, 07, 2016011500, 03, CTCX, 054, 177S, 1652W,  76,  960, XX,  64, NEQ, 0094, 0091, 0000, 0088,    0,    0, 047
SH, 07, 2016011500, 03, CTCX, 060, 186S, 1650W,  75,  964, XX,  34, NEQ, 0306, 0325, 0277, 0210,    0,    0, 058
