Basin,Storm_Number,Storm_Name,Storm_Start_Date,Storm_End_Date,Storm_Year,adeck_path,adeck_path_parquet
al,9,Harvey,13/08/2017 06:00,31/08/2017 00:00,2017.0,./forecast_data/aal092017.dat,./forecast_data_parquet/aal092017.parquet
al,9,Isaac,03/09/2018 18:00,17/09/2018 06:00,2018.0,./forecast_data/aal092018.dat,./forecast_data_parquet/aal092018.parquet
al,9,Humberto,10/09/2019 18:00,20/09/2019 00:00,2019.0,./forecast_data/aal092019.dat,./forecast_data_parquet/aal092019.parquet
al,9,Isaias,24/07/2020 18:00,05/08/2020 12:00,2020.0,./forecast_data/aal092020.dat,./forecast_data_parquet/aal092020.parquet
al,9,Ida,25/08/2021 00:00,02/09/2021 12:00,2021.0,./forecast_data/aal092021.dat,./forecast_data_parquet/aal092021.parquet
al,9,Ian,20/09/2022 12:00,02/10/2022 06:00,2022.0,./forecast_data/aal092022.dat,./forecast_data_parquet/aal092022.parquet
al,9,Harold,20/08/2023 12:00,23/08/2023 18:00,2023.0,./forecast_data/aal092023.dat,./forecast_data_parquet/aal092023.parquet
al,9,Helene,2024-09-22 18:00:00,2024-09-28 18:00:00,2024.0,./forecast_data/aal092024.dat,./forecast_data_parquet/aal092024.parquet
al,10,Invest,12/08/2005 12:00,23/08/2005 18:00,2005.0,./forecast_data/aal102005.dat,./forecast_data_parquet/aal102005.parquet
al,10,Invest,18/09/2007 12:00,22/09/2007 00:00,2007.0,./forecast_data/aal102007.dat,./forecast_data_parquet/aal102007.parquet
al,10,Disturbance,02/09/2008 12:00,10/09/2008 00:00,2008.0,./forecast_data/aal102008.dat,./forecast_data_parquet/aal102008.parquet
al,10,Invest,05/10/2009 00:00,09/10/2009 00:00,2009.0,./forecast_data/aal102009.dat,./forecast_data_parquet/aal102009.parquet
al,10,Hermine,29/07/2010 18:00,08/09/2010 00:00,2010.0,./forecast_data/aal102010.dat,./forecast_data_parquet/aal102010.parquet
al,10,Invest,23/08/2011 06:00,27/08/2011 06:00,2011.0,./forecast_data/aal102011.dat,./forecast_data_parquet/aal102011.parquet
al,10,Joyce,20/08/2012 00:00,24/08/2012 12:00,2012.0,./forecast_data/aal102012.dat,./forecast_data_parquet/aal102012.parquet
al,10,Ingrid,10/09/2013 12:00,17/09/2013 06:00,2013.0,./forecast_data/aal102013.dat,./forecast_data_parquet/aal102013.parquet
al,10,Ida,14/09/2015 12:00,28/09/2015 00:00,2015.0,./forecast_data/aal102015.dat,./forecast_data_parquet/aal102015.parquet
al,10,Ian,09/09/2016 00:00,16/09/2016 18:00,2016.0,./forecast_data/aal102016.dat,./forecast_data_parquet/aal102016.parquet
al,10,Invest,15/08/2017 12:00,29/08/2017 18:00,2017.0,./forecast_data/aal102017.dat,./forecast_data_parquet/aal102017.parquet
al,10,Joyce,12/09/2018 06:00,19/09/2018 00:00,2018.0,./forecast_data/aal102018.dat,./forecast_data_parquet/aal102018.parquet
